STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/30/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",2/4/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",3/24/2020,2,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",3/29/2020,0.53,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",3/31/2020,0.49,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/1/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/2/2020,0.08,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/9/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/14/2020,1.64,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/15/2020,0.04,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/28/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",4/30/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",5/1/2020,0.67,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",5/2/2020,0.34,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",5/3/2020,0,,,
US1MABR0009,"TAUNTON 2.6 NW, MA US",3/23/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/1/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/2/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/3/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/4/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/5/2020,0.2,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/6/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/7/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/8/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/9/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/10/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/11/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/12/2020,0.04,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/13/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/14/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/15/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/16/2020,0.02,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/17/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/18/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/19/2020,0.78,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/20/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/21/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/22/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/23/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/24/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/25/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/26/2020,0.82,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/27/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/28/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/29/2020,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",1/30/2020,0,,,
